1,10000000,REGION I (ILOCOS REGION),1
2,20000000,REGION II (CAGAYAN VALLEY),2
3,30000000,REGION III (CENTRAL LUZON),3
4,40000000,REGION IV-A (CALABARZON),4
5,170000000,REGION IV-B (MIMAROPA),17
6,50000000,REGION V (BICOL REGION),5
7,60000000,REGION VI (WESTERN VISAYAS),6
8,70000000,REGION VII (CENTRAL VISAYAS),7
9,80000000,REGION VIII (EASTERN VISAYAS),8
10,90000000,REGION IX (ZAMBOANGA PENINSULA),9
11,100000000,REGION X (NORTHERN MINDANAO),10
12,110000000,REGION XI (DAVAO REGION),11
13,120000000,REGION XII (SOCCSKSARGEN),12
14,130000000,NATIONAL CAPITAL REGION (NCR),13
15,140000000,CORDILLERA ADMINISTRATIVE REGION (CAR),14
16,150000000,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),15
17,160000000,REGION XIII (Caraga),16
